,Unnamed: 0,Week,Date,Score
0,0,0,2018-07-31,33
1,1,0,2018-08-01,30
2,2,0,2018-08-02,33
3,3,0,2018-08-03,36
4,4,4,2018-08-20,0
5,5,5,2018-08-27,0
6,6,5,2018-08-27,0
7,7,5,2018-08-28,0
8,8,5,2018-08-29,0
9,9,6,2018-08-30,0
10,10,6,2018-08-31,0
11,11,7,2018-09-04,0
12,12,7,2018-09-05,0
13,13,7,2018-09-06,0
14,14,7,2018-09-07,0
15,15,8,2018-09-10,0
16,16,8,2018-09-11,0
17,17,8,2018-09-12,0
18,18,8,2018-09-13,0
19,19,9,2018-09-14,0
20,20,9,2018-09-17,0
21,21,9,2018-09-18,0
22,22,10,2018-09-19,0
23,23,10,2018-09-20,0
24,24,10,2018-09-21,0
25,0,4,2018-07-09,2
26,1,4,2018-07-11,0
27,2,5,2018-07-16,0
28,3,5,2018-07-17,0
29,4,5,2018-07-18,0
30,5,6,2018-07-19,0
31,6,6,2018-07-20,0
32,7,6,2018-07-23,0
33,8,7,2018-07-24,0
34,9,7,2018-07-25,0
35,10,7,2018-07-26,0
36,11,7,2018-07-27,0
37,12,8,2018-07-30,0
38,13,8,2018-07-31,0
39,14,8,2018-08-01,0
40,15,8,2018-08-02,0
41,16,9,2018-08-03,0
42,17,9,2018-08-07,1
43,18,0,2018-06-19,50
44,19,0,2018-06-20,54
45,20,0,2018-06-21,53
46,0,1,2018-08-27,33
47,1,4,2018-09-10,12
48,2,5,2018-09-18,17
49,3,5,2018-09-19,20
50,4,6,2018-09-20,21
51,5,6,2018-09-21,15
52,6,6,2018-09-24,14
53,7,7,2018-09-25,17
54,8,7,2018-09-26,19
55,9,7,2018-09-27,24
56,10,7,2018-09-28,19
57,11,0,2018-08-21,30
58,12,0,2018-08-22,37
59,0,0,2018-06-19,46
60,1,0,2018-06-20,42
61,2,0,2018-06-21,44
62,0,3,2018-07-09,6
63,1,4,2018-07-12,0
64,2,5,2018-07-16,0
65,3,5,2018-07-17,0
66,4,5,2018-07-18,0
67,5,5,2018-07-19,0
68,6,6,2018-07-20,0
69,7,6,2018-07-23,0
70,8,6,2018-07-24,0
71,9,7,2018-07-25,0
72,10,7,2018-07-26,0
73,11,7,2018-07-27,0
74,12,8,2018-07-30,0
75,13,8,2018-07-31,0
76,14,8,2018-08-01,0
77,15,8,2018-08-02,0
78,16,8,2018-08-03,0
79,17,9,2018-08-07,0
80,18,0,2018-06-20,45
81,19,0,2018-06-21,47
82,0,0,2018-07-31,48
83,1,0,2018-08-01,46
84,2,0,2018-08-02,43
85,3,0,2018-08-03,43
86,4,4,2018-08-21,16
87,5,5,2018-08-27,0
88,6,5,2018-08-27,0
89,7,5,2018-08-28,2
90,8,5,2018-08-29,0
91,9,6,2018-08-30,0
92,10,6,2018-08-31,0
93,11,7,2018-09-04,0
94,12,7,2018-09-05,0
95,13,7,2018-09-06,0
96,14,7,2018-09-07,0
97,15,8,2018-09-10,0
98,16,8,2018-09-11,0
99,17,8,2018-09-12,0
100,18,8,2018-09-13,0
101,19,9,2018-09-14,0
102,20,9,2018-09-17,0
103,21,9,2018-09-18,0
104,22,10,2018-09-19,1
105,23,10,2018-09-20,0
106,24,10,2018-09-21,0
107,0,0,2018-07-31,44
108,1,0,2018-08-01,57
109,2,0,2018-08-02,45
110,3,0,2018-08-03,51
111,4,2,2018-08-13,0
112,5,4,2018-08-20,0
113,6,5,2018-08-27,1
114,7,5,2018-08-27,0
115,8,5,2018-08-28,0
116,9,5,2018-08-29,0
117,10,6,2018-08-30,0
118,11,6,2018-08-31,0
119,12,7,2018-09-04,0
120,13,7,2018-09-05,1
121,14,7,2018-09-06,2
122,15,7,2018-09-07,0
123,16,8,2018-09-10,0
124,17,8,2018-09-11,0
125,18,8,2018-09-12,3
126,19,8,2018-09-13,1
127,20,9,2018-09-14,0
128,21,9,2018-09-17,0
129,22,9,2018-09-18,1
130,23,10,2018-09-19,0
131,24,10,2018-09-20,2
132,25,10,2018-09-21,0
